miniquiz,midtermexam
10,3
15,8
19,9
29,13
32,13
36,14
13,15
30,16
35,16
44,16
35,16
13,16
43,17
41,17
17,17
30,17
30,18
45,18
34,18
21,19
46,19
38,19
36,19
34,20
38,20
36,20
38,21
36,21
38,21
26,22
29,22
38,22
46,24
42,25
25,25
40,25
36,26
23,31
31,34
